Fuar Adı,Başlangıç,Bitiş,Şehir,Sektör,Düzenleyici,Web,Katılımcı Listesi
2. Afyonkarahisar Blok Mermer Fuarı,2026-06-17,2026-06-20,Afyonkarahisar,Otomotiv,Alz Grup Uluslararası Fuar Kongre Ve Danışmanlık Anonim Şirketi,https://www.alzgurp.com.tr,
Busworld Türkiye 2026,2026-06-17,2026-06-19,İstanbul,Endüstri & Otomasyon,Hkf Fuarcılık Anonim Şirketi,https://www.hkftradefairs.com,
Paıntistanbul 2026,2026-06-17,2026-06-19,İstanbul,İş Makineleri & İnşaat,Cng Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://paintistanbul.net,
Powder & Dosıng Expo 2026,2026-06-17,2026-06-19,İstanbul,Enerji & Çevre,Cng Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://powderdosingexpo.com,
"İdma 11. Uluslararası Un, Yem, İrmik, Pirinç, Mısır, Bulgur, Değirmen Makineleri Ve Bakliyat, Makarna, Bisküvi Teknolojileri  Fuarı",2026-06-25,2026-06-27,İstanbul,Bilişim & Teknoloji,İdma Uluslararası Fuar Yapım Ticaret Anonim Şirketi,https://www.idma.com.tr,
"F İstanbul Gıda İçecek Ürünleri Ve Üretim Teknolojileri; Bisküvi, Çikolata, Şekerli Ürünler Ve Üretim Teknolojileri; Kuru&Sert Kabuklu Meyveler&Atıştırmalik Ürünler Ve Üretim Teknolojileri, Gıda Ambalaj Endüstrisi Ve Katkı Maddeleri; Market Ve Mağaza Ekipmanları Fuarı",2026-07-01,2026-07-04,İstanbul,Endüstri & Otomasyon,"1) Federal Fuar Organizasyon Anonim Şirketi
2) So Fuar Anonim Şirketi",https://www.f-istanbul.com,
"Gaziantep Triko, İplik, Konfeksiyon Ve Teknolojileri Fuarı",2026-07-01,2026-07-04,Gaziantep,Tekstil & Moda,Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi,https://www.gsomem.com.tr/,
18. Umre & Turizm Fuarı 2026,2026-07-06,2026-07-07,İstanbul,Turizm & Otelcilik,Grup Medya Fuarcılık Limited Şirketi,https://www.grupmedya.com.tr,
Umre Ve Turizm Profesyoneller Fuarı,2026-07-11,2026-07-12,İstanbul,Turizm & Otelcilik,Huıtm Fuarcılık Hizmetleri Anonim Şirketi,https://www.huitm.org,
Ankara Üniversite Tercih Fuarı,2026-07-22,2026-07-23,Ankara,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
Bursa Üniversite Tercih Fuarı,2026-07-22,2026-07-22,Bursa,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
İzmir Üniversite Tercih Fuarı,2026-07-23,2026-07-24,İzmir,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
Üniversite Tercih Fuarı,2026-07-24,2026-07-26,İstanbul,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
Gaziantep Üniversite Tercih Fuarı,2026-07-27,2026-07-27,Gaziantep,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
Konya Üniversite Tercih Fuarı,2026-07-28,2026-07-28,Konya,Eğitim,Tercih Fuarcılık Limited Şirketi,https://www.tercihfuari.com,
"9. Euro Animalia Trakya Avrupa Hayvancılık Süt Ve Süt Ürünleri Edüstrisi, İş Makinaları Fuarı",2026-08-10,2026-08-15,Tekirdağ,Gıda & Tarım,Renkli Fuarcılık Ltd. Şti.,https://www.renklyfuar.com,
Çorlu 19.Tarımtech Trakya Avrupa Hayvancılık Sanayi Ve Gıda Fuarı,2026-08-10,2026-08-15,Tekirdağ,Gıda & Tarım,Renkli Fuarcılık Ltd. Şti.,https://www.renklyfuar.com,
Ifco İstanbul Fashion Connection Hazır Giyim Ve Moda Fuarı,2026-08-19,2026-08-21,İstanbul,Tekstil & Moda,İtkib Fuarcılık Anonim Şirketi,https://www.ifco.com.tr,
"F İstanbul Gıda İçecek Ürünleri Ve Üretim Teknolojileri; Bisküvi, Çikolata, Şekerli Ürünler Ve Üretim Teknolojileri; Kuru & Sert Kabuklu Meyveler & Atıştırmalik Ürünler Ve Üretim Teknolojileri, Gıda Ambalaj Endüstrisi Ve Katkı Maddeleri; Market Ve Mağaza Ekipmanları Fuarı",2026-08-26,2026-08-29,İstanbul,Endüstri & Otomasyon,"1) Federal Fuar Organizasyon Anonim Şirketi
2) So Fuar Anonim Şirketi",https://www.f-istanbul.com,
"Yozgat 16.Tarım, Gıda Ve Hayvancılık Fuarı",2026-08-27,2026-08-30,Yozgat,Endüstri & Otomasyon,Kobi Fuarcılık Tanıtım Ve Organizasyon Limited Şirketi,https://www.kobifuarcilik.com,
İnşaat Endüstrisi İhracat Fuarı - Cf İstanbul,2026-08-27,2026-08-29,İstanbul,Endüstri & Otomasyon,"1) Federal Fuar Organizasyon Anonim Şirketi
2) So Fuar Anonim Şirketi",https://www.cfistanbul.com,
95. İzmir Enternasyonal Fuarı,2026-08-28,2026-09-09,İzmir,Otomotiv,İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi,https://www.izfas.com.tr,
Tarım Ve Teknoloji Günleri,2026-09-01,2026-09-05,Tekirdağ,Gıda & Tarım,Dlg Fuarcılık Limited Şirketi,https://www.dlgfuarcilik.com,
"Foodıst 2026  Yaş Sebze Meyve, Gıda Ürünleri, Su Ürünleri Balıkçılık, Depolama, Lojistik Fuarı",2026-09-01,2026-09-04,İstanbul,Gıda & Tarım,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Eskişehir Tarım Fuarı  7. Tarım, Hayvancılık Ve Teknolojileri Fuarı",2026-09-01,2026-09-05,Eskişehir,Gıda & Tarım,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Comvex  -  Ticari Araçlar  Ve  Yan Sanayileri Fuarı,2026-09-01,2026-09-04,İstanbul,Otomotiv,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Foodist  2026  İstanbul Gıda Ve İçecek Ürünleri, Su Ürünleri, Yaş Meyve Ve Sebze Fuarı",2026-09-01,2026-09-04,İstanbul,Gıda & Tarım,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
"Beauty Eurasia 2026 - 21. Uluslararası Kozmetik, Güzellik, Kuaför, Ambalaj, Hammadde, Hijyen Ve Private Label Fuarı",2026-09-02,2026-09-04,İstanbul,Kozmetik & Güzellik,"1) Ica Beauty Fuarcılık Anonim Şirketi
2) Ica Fuarcılık A.Ş.",https://www.beautyeurasia.com,
"Akşehir Tarım, Hayvancılık Ve Yem Fuarı",2026-09-03,2026-09-06,Konya,Gıda & Tarım,Lina Fuarcılık Hizmetleri Sanayi Ve Ticaret Limited Şirketi,https://www.linafair.com,
"Texhibition İstanbul Kumaş, Denim, Tekstil Aksesuarları Ve İplik Fuarı",2026-09-09,2026-09-11,İstanbul,Tekstil & Moda,İtkib Fuarcılık Anonim Şirketi,https://wwwtexhibitionist.com,
Zuchex 36. Uluslararası Ev Ve Mutfak Eşyaları Fuarı,2026-09-09,2026-09-12,İstanbul,Mobilya & İç Mekan,Informa Fuarcılık Anonim Şirketi,https://www.zuchex.com,
Promosyon Show İstanbul Fuarı,2026-09-09,2026-09-12,İstanbul,Tekstil & Moda,Promo Fuarcılık Ticaret Limited Şirketi,https://www.promosyonshow.com,
Aff - Üretim Tesisleri Tedarik Fuarı,2026-09-09,2026-09-12,Gaziantep,Endüstri & Otomasyon,"1) Nobel Expo Uluslararası Fuarcılık Anonim Şirketi
2) Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi",https://www.nobelexpo.com,
Gaziantep Enerji Ve İklimlendirme Fuarı,2026-09-09,2026-09-12,Gaziantep,Enerji & Çevre,"1) Nobel Expo Uluslararası Fuarcılık Anonim Şirketi
2) Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi",https://www.nobelexpo.com,
"17. Perakende Zirvesi 2026, Yerel Zincirler Buluşuyor Fuarı",2026-09-09,2026-09-10,İstanbul,Genel / Diğer,Focus Fuar Ve Kongre Yönetimi Anonim Şirketi,https://www.yzb.focusfairs.com,
Kapex Kapı Fuarı,2026-09-09,2026-09-12,Kayseri,Genel / Diğer,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelexpo.com,
Electricity Eurasia - Elektrik Ve Elektrik Ekipmanları Fuarı,2026-09-16,2026-09-18,İstanbul,Endüstri & Otomasyon,Sektörel Fuarcılık A.Ş.,https://www.electricityeurasia.com,
Ibıa Expo - 5. Uluslararası Yatak Yan Sanayi Ve Teknolojileri Fuarı,2026-09-16,2026-09-19,İstanbul,Mobilya & İç Mekan,Birleşik Fuar Yapım Anonim Şirketi,https://www.bifasfuar.com,
Iccı - Uluslararası Enerji Ve Çevre Fuarı Ve Konferansı,2026-09-16,2026-09-18,İstanbul,Endüstri & Otomasyon,Sektörel Fuarcılık A.Ş.,https://www.icci.com.tr,
"Metal Expo Eurasıa İstanbul – 8. Uluslararası Demir, Demir Dışı Metaller, Çelik, Boru, Profil, Paslanmaz Çelik, Alaşımlı Metal Dövme Teknolojileri Ve Ürünleri Fuarı.",2026-09-16,2026-09-19,İstanbul,Bilişim & Teknoloji,Sky Fuarcılık Anonim Şirketi,https://www.metalexpo.com.tr,
"Intermob 2026    28.Uluslararası Mobilya Yan Sanayi, Aksesuarları Orman Ürünleri Ve Ahşap Teknolojisi Fuarı",2026-09-17,2026-09-20,İstanbul,Mobilya & İç Mekan,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
"Uşak 11. Ege Tarım Ve Hayvancılık, Süt Teknolojileri, Çiftlik Ekipmanları, Tarım Makineleri, Sera Teknolojileri Fuarı",2026-09-17,2026-09-20,Uşak,Gıda & Tarım,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.glplatformfuar.com,
Vı.Marmaraka  Kamp Karavan Ve Doğa Sporları Fuarı,2026-09-17,2026-09-20,İstanbul,Genel / Diğer,Anadolu Ekspo Fuar Ticaret Limited Şirketi,https://www.anadoluekspo.com,
"İnterfresh Eurasia / Interfood Eurasia Meyve,Sebze,Gıda,Gıda Ürünleri ,Gıda Teknolojileri Ambalaj,Tarım Teknolojileri,Depolama Ve   Lojistik Fuarı",2026-09-17,2026-09-19,İzmir,Gıda & Tarım,Antexpo Fuarcılık Hizmetleri Anonim Şirketi,https://www.euroasiainterfresh.com,
Vitahealth Sağlık Turizm Fuarı,2026-09-21,2026-09-26,İstanbul,Sağlık & Medikal,Bt Turizm Organizasyon Ve Fuarcılık Sanayi Ticaret Limited Şirketi,https://www.vitahealthfair.com,
Vitahealth Fuarı,2026-09-21,2026-09-26,İstanbul,Gıda & Tarım,Bt Turizm Organizasyon Ve Fuarcılık Sanayi Ticaret Limited Şirketi,https://www.vitahealthfair.com,
Müsiad Expo 2026 Uluslararası Müsiad Ticaret Fuarı,2026-09-23,2026-09-26,İstanbul,Gıda & Tarım,Müstakil Fuarcılık Anonim Şirketi,https://www.musiadexpo.com,
"Gaziantep İnşaat, Yapı, Dekorasyon Ve Teknolojileri Fuarı",2026-09-23,2026-09-26,Gaziantep,İş Makineleri & İnşaat,Gsomem Gaziantep Sanayı Odası Mesleki Eğitim Danışmanlık Hizmetleri Anonim Şirketi,https://www.gsomem.com.tr,
Aymod Uluslararası Ayakkabı Moda Fuarı,2026-09-23,2026-09-26,İstanbul,Tekstil & Moda,Tasd Fuarcılık A.Ş.,https://www.aymod.com,
"7.Anfaş Fresh Antalya - Sebze, Meyve, Arıcılık, Ambalaj, Lojistik, Depolama Ve Taze Ürün Teknolojileri",2026-09-24,2026-09-26,Antalya,Gıda & Tarım,Anfaş Antalya Fuarcılık İşletme Ve Yatırım Anonim Şirketi,https://www.anfas.com.tr,
"Dinar Tarım Hayvancılık Makinaları, Teknolojileri Ve Yem Fuarı",2026-09-24,2026-09-27,Afyonkarahisar,Gıda & Tarım,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
Fdı Furnıshıngs And Desıgn Istanbul (Mobilya Tasarım Fuarı),2026-09-24,2026-09-26,İstanbul,Mobilya & İç Mekan,Mos Fuarcılık Anonim Şirketi,https://www.fdistanbul.com,
Future Fısh Eurasıa,2026-09-24,2026-09-26,İzmir,Lojistik & Taşımacılık,Avrasya Fuarcılık Tanıtım Organizasyon Hizmetleri Limited Şirketi,https://www.future-fish.com,
Iv.Expo Sport Uluslararası Spor Fuarı,2026-09-24,2026-09-27,İzmir,Sağlık & Medikal,Exposport Fuarcılık Anonim Şirketi,https://www.expo-sport.com,
İstanbul Turizm Fuarı,2026-09-24,2026-09-25,İstanbul,Turizm & Otelcilik,Dream Project Organizasyon Fuarcılık Ve Ticaret Anonim Şirketi,https://www.istanbulturizmfuari.com.tr,
Diyarbakır 10. Kitap Fuarı,2026-09-26,2026-10-04,Diyarbakır,Eğitim,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Qs Discover Master Fuarı,2026-09-26,2026-09-26,İstanbul,Eğitim,Study Expo Fuarcılık A.Ş.,https://www.qs.topuniversities.com/tr/events/masters/istanbul,
İngiltere Eğitim Günleri Fuarı,2026-09-26,2026-09-26,Ankara,Eğitim,Edukas Yurtdışı Eğitim Danışmanlık Ticaret Limited Şirketi,https://www.educationukdays.com,
"Maktek Avrasya 2026 -  9. Uluslararası Takım Tezgahları, Metal Sac İşleme Makineleri, Tutucular -Kesici Takımlar, Kalite Kontrol, Ölçüm Sistemleri, Cad/Cam, Plm, Yazılımları, Ve Üretim Teknolojileri Fuarı",2026-09-28,2026-10-03,İstanbul,Endüstri & Otomasyon,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
Atech,2026-09-30,2026-10-03,İstanbul,Enerji & Çevre,Artı 2 Fuarcılık Limited Şirketi,https://www.atechfuari.com,
"Ijs - İstanbul Jewelry Show 60. İstanbul Uluslararası Mücevher, Altın, Gümüş, Değerli Taş Ve Teknolojileri Fuarı",2026-09-30,2026-10-03,İstanbul,Mobilya & İç Mekan,Informa Fuarcılık Anonim Şirketi,https://www.istanbuljewelryshow.com,
İgef'26 - 3.İç Güvenlik Ekipmanları Fuarı,2026-10-01,2026-10-03,Ankara,Otomotiv,Expolınk Fuarcılık Hizmetleri Ticaret Anonim Şirketi,https://www.igef.com.tr,
Komtrans Ticari Araçlar Fuarı,2026-10-01,2026-10-03,Bursa,Otomotiv,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
4. Oyfest Oyuncak Ve Çocuk Gereçleri Fuarı,2026-10-01,2026-10-03,Antalya,Otomotiv,Oyfest Fuarcılık Ve Organizasyon Limited Şirketi,https://oyfest.com.tr,
Craftistanbul 7.Uluslararası Yöresel Ve Geleneksel El Sanatları Fuarı,2026-10-01,2026-10-04,İstanbul,Genel / Diğer,Atis Fuarcılık Anonim Şirketi,https://www.craftfairistanbul.com,
Studyexpo Yurtdışı Eğitim Fuarı,2026-10-03,2026-10-03,İstanbul,Eğitim,Study Expo Fuarcılık A.Ş.,https://www.studyexpo.com,
İngiltere Eğitim Günleri Fuarı,2026-10-03,2026-10-03,İstanbul,Eğitim,Edukas Yurtdışı Eğitim Danışmanlık Ticaret Limited Şirketi,https://www.educationukdays.com,
Avrasya Teknoloji Haftası,2026-10-07,2026-10-09,İstanbul,Bilişim & Teknoloji,Gen Uluslararası Fuarcılık Anonim Şirketi,https://www.etwistanbul.com,
3. Motta Ege Motorlu Taşıtlar Fuarı,2026-10-07,2026-10-11,Denizli,Otomotiv,Orion Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://www.mottashow.com,
5. Peyzaj İstanbul Fuarı 2026,2026-10-07,2026-10-10,İstanbul,Genel / Diğer,Athena Fuarcılık Anonim Şirketi,https://www.peyzajistanbulfuari.com.tr,
6. Uluslararası Mobısad Imex Fuarı,2026-10-07,2026-10-10,İstanbul,Bilişim & Teknoloji,Marmara Tanıtım Fuarcılık Organizasyon Reklam Ve Ticaret Anonim Şirketi,https://www.marmarafuar.com.tr,
Anamob Anadolu Mobilya,2026-10-07,2026-10-11,Kayseri,Mobilya & İç Mekan,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelanamob.com,
Data Center Eurasia,2026-10-07,2026-10-10,İstanbul,İş Makineleri & İnşaat,Marmara Tanıtım Fuarcılık Organizasyon Reklam Ve Ticaret Anonim Şirketi,https://www.datacentereurasia.com,
"Isaf International Fuarı - 30.Uluslararası Güvenlik, Ülke Güvenliği, Siber Güvenlik, Yangın, İsg Fuarı",2026-10-07,2026-10-10,İstanbul,Enerji & Çevre,Marmara Tanıtım Fuarcılık Organizasyon Reklam Ve Ticaret Anonim Şirketi,https://www.marmarafuar.com.tr,
"Isaf Smartex Fuarı - 15.Uluslararası Akıllı Şehirler, Binalar, Ulaşım, Yönetim Ve Yaşam Fuarı",2026-10-07,2026-10-10,İstanbul,Bilişim & Teknoloji,Marmara Tanıtım Fuarcılık Organizasyon Reklam Ve Ticaret Anonim Şirketi,https://www.marmarafuar.com.tr,
"Logistech ""5. Lojistik, Depolama Ve Teknolojileri Fuarı""",2026-10-07,2026-10-09,İzmir,Bilişim & Teknoloji,İzfaş İzmir Fuarcılık Hizmetleri Kültür Ve Sanat İşleri Ticaret Anonim Şirketi,https://www.izfas.com.tr,
Mobidictum Conference 2026,2026-10-07,2026-10-08,İstanbul,Genel / Diğer,Mobıdıctum Medya Anonim Şirketi,https://www.mobidictum.com,
Petzoo Eurasia 12. Uluslararası Evcil Hayvan Ürün Malzeme Ve Aksesuar Tedarikçileri Fuarı,2026-10-07,2026-10-10,İstanbul,Genel / Diğer,Ulusal Fuarcılık Organizasyon Ticaret Limited Şirketi,https://www.ulusalfair.com,
Nobel Çukurova Mobilya Fuarı,2026-10-09,2026-10-13,Adana,Mobilya & İç Mekan,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelexpo.com,
Şanlıurfa Gıda Yöresel Ürünler Hediyelik Eşya Ve El Sanatları Fuarı,2026-10-09,2026-10-18,Şanlıurfa,Gıda & Tarım,Medyatrend Fuarcılık Sanayi Ve Ticaret Limited Şirketi,https://www.medyatrend.com.tr,
Vef Yurt Dışı Eğitim Fuarı,2026-10-12,2026-10-12,İzmir,Eğitim,Endless Grup Eğitim Bilişim Anonim Şirketi,https://www.endlessg.com,
(Modef Expo 2026) 55.Uluslararası Mobilya Ve Dekorasyon Fuarı,2026-10-13,2026-10-17,Bursa,Mobilya & İç Mekan,Modef Fuarcılık Ticaret Limited Şirketi,https://www.modef.com.tr,
"Avrasya Ambalaj 2026- İstanbul 31.Uluslararası Ambalaj Endüstrisi Fuarı (Printpack&Converting-Ambalaj Baskı Teknolojileri, Oluklu Mukavva-Kağıt-Karton Ambalaj Üretim Teknolojileri Özel Bölümü) /Foodtech Eurasia Gıda İçecek Üretim Ve İşleme Teknolojileri Özel Bölümü",2026-10-13,2026-10-16,İstanbul,Endüstri & Otomasyon,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
"Agrogreen Bursa 2. Tarım, Hayvancılık, Süt, Sera Teknolojileri, Tohum Fide Fidan Ve Canlı Hayvan Fuarı",2026-10-14,2026-10-17,Bursa,Gıda & Tarım,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.agrogreenfairbursa.com,
"Ibaktech 15. Uluslararası Ekmek, Pasta Makinalari, Dondurma, Çikolata Ve Teknolojileri Fuarı",2026-10-14,2026-10-17,İstanbul,Bilişim & Teknoloji,Messe Stuttgart Ares Fuarcılık Limited Şirketi,https://www.messe-stuttgart.com.tr,
Savunma Ve Havacılıkta Endüstriyel İşbirliği Günleri Ve Fuarı,2026-10-14,2026-10-16,Ankara,Endüstri & Otomasyon,Ostim Proje Ve Teknoloji Gelişim Eğitim Danışmanlık Hizmetleri Anonim Şirketi,https://www.icdda.com.tr,
12. Magrotex'26 Uluslararası Mardin Tarım Ekipmanları Gıda Ve Hayvancılık Fuarı,2026-10-15,2026-10-18,Mardin,Endüstri & Otomasyon,Zümrüt Fuarcılık Tan. Org. San. Ve Tic. Ltd. Şti.,https://www.zumrutfuarcilik.com.tr,
Bayim Olur Musun? 24. Franchising Ve Markalı Bayilik Fuarı,2026-10-15,2026-10-18,İstanbul,Gıda & Tarım,Medya Fors Fuarcılık Anonim Şirketi,https://www.medyafors.com,
"4. Çivril Tarım, Hayvancılık Makinaları Teknolojileri Ve Yem Fuarı",2026-10-17,2026-10-20,Denizli,Gıda & Tarım,Başak Fuar Hizmetleri Limited Şirketi,https://www.basakfuar.com,
Akare Yurtdışı Eğitim Fuarları,2026-10-17,2026-10-18,İstanbul,Eğitim,Akare Fuarcılık Anonim Şirketi,https://www.akare.com.tr,
Bosphorus Boat Show,2026-10-17,2026-10-25,İstanbul,Genel / Diğer,Yated Fuarcılık Anonim Şirketi,https://bosphorusboatshow.com,
Ieft Yurt Dışı Eğitim Fuar Ve Seminerleri,2026-10-18,2026-10-18,Ankara,Eğitim,İstanbul Eğitim Fuarları Ve Tanıtım Limited Şirketi,https://www.ieft.net,
Artnouva  3.Sanat Fuarı,2026-10-21,2026-10-25,Ankara,Genel / Diğer,Atis Fuarcılık Anonim Şirketi,https://www.artnovafair.com,
Nobel Master Shoes - Ayakkabı & Çanta Moda Fuarı,2026-10-21,2026-10-24,Konya,Tekstil & Moda,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelexpo.com,
Turkcomposıte  2026 Kompozit Sanayi Fuarı,2026-10-21,2026-10-23,İstanbul,Bilişim & Teknoloji,Cng Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://turkcomposite.com,
"Woodtech 2026 - 39.Uluslararası Ağaç İşleme Makineleri, Kesici Takımlar, El Aletleri Fuarı",2026-10-22,2026-10-25,İstanbul,Mobilya & İç Mekan,Reed Tüyap Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
"Maden-Tek 2026, Maden Endüstrisi Teknoloji Günleri",2026-10-22,2026-10-24,Ankara,Endüstri & Otomasyon,Mayeb Basın Yayın İnsan Kaynakları Eğitim Danışmanlık İnceleme Araştırma Pazarlama İthalat İhracat Sanayi Ve Ticaret Limited Şirketi,https://www.maden-tek.com,
Bursa Food Poınt Gıda Ürünleri Ve Teknolojileri Fuarı,2026-10-22,2026-10-24,Bursa,Gıda & Tarım,Kfa Fuarcılık Anonim Şirketi,https://www.kfa.com.tr,
"Ankiros 17. Uluslararası Demir-Çelik, Döküm, Demirdışı Metalürji Teknolojileri, Makine Ve Ürünleri İhtisas Fuarı",2026-10-22,2026-10-24,İstanbul,Bilişim & Teknoloji,Hannover Messe Ankiros Fuarcılık Anonim Şirketi,https://www.hmankiros.com,
Ibıa Expo - 6. Uluslararası Yatak Yan Sanayi Ve Teknolojileri Fuarı,2026-10-28,2026-10-31,İstanbul,Mobilya & İç Mekan,Birleşik Fuar Yapım Anonim Şirketi,https://www.bifasfuar.com,
İstanbul Maraton Ve Spor Fuarı,2026-10-29,2026-10-31,İstanbul,Genel / Diğer,Thor Expo Fuarcılık Hizmetleri Anonim Şirketi,https://www.thorajans.com,
"Promogıft Istanbul 2026, Kurumsal Tanıtım Ve Reklam Ürünleri Fuarı",2026-10-31,2026-11-03,İstanbul,Bilişim & Teknoloji,Informa Fuarcılık Anonim Şirketi,https://www.promogiftistanbul.com,
Sıgn İstanbul 27. Uluslararası Endüstriyel Reklam Ve Dijital Baskı Teknolojileri Fuarı,2026-10-31,2026-11-03,İstanbul,Endüstri & Otomasyon,Informa Fuarcılık Anonim Şirketi,https://www.signistanbul.com,
"Unıcera - İstanbul Seramik, Banyo, Mutfak Fuarı",2026-11-02,2026-11-06,İstanbul,Mobilya & İç Mekan,Unicera Uluslararası Fuarcılık Anonim Şirketi,https://www.unicera.com.tr,
"Adana Tarım – Sera&Bahçe Fuarı   19. Tarım, Sera-Bahçe, Hayvancılık, Tavukçuluk Ve Süt Endüstrisi Fuarı",2026-11-03,2026-11-07,Adana,Endüstri & Otomasyon,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyapadana@tuyap.com.tr,
2. Motta İzmir Motorlu Taşıtlar Fuarı,2026-11-04,2026-11-08,İzmir,Otomotiv,Orion Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://www.mottashow.com,
Kalite Ankara 2026,2026-11-04,2026-11-07,Ankara,Endüstri & Otomasyon,Kalite Fuar Yapım Anonim Şirketi,https://www.kalitefuarcilik.com,
Sakarya 8. Tarım Hayvancılık Makineleri Teknolojileri Ve Yem Fuarı,2026-11-05,2026-11-08,Sakarya,Gıda & Tarım,Gl Platform Fuar Hizmetleri Limited Şirketi,https://www.glplatformfuar.com,
"Hostech By Tusıd  İstanbul Uluslararası  Otel, Restoran, Kafe Gastronomi, Unlu Mamuller Ve Teknolojileri Fuarı",2026-11-10,2026-11-14,İstanbul,Endüstri & Otomasyon,Tüyap Tüm Fuarcılık Yapım Anonim Şirketi,https://www.tuyap.com.tr,
5. Ev Charge Show - Elektrikli Araç Şarj Teknolojileri Ve Ekipmanları Fuarı,2026-11-11,2026-11-13,İstanbul,Otomotiv,Voli Fuar Hizmetleri Anonim Şirketi,https://www.voli.com.tr,
Aysaf 2026 Ayakkabı Yan Sanayi Fuarı,2026-11-11,2026-11-14,İstanbul,İş Makineleri & İnşaat,Cng Fuarcılık Ve Tanıtım Hizmetleri Anonim Şirketi,https://aysafexpo.com,
Uluslararası Logitrans Transport Lojistik Fuarı,2026-11-11,2026-11-13,İstanbul,Otomotiv,Eko Mmı Fuarcılık Limited Şirketi,https://www.logitrans.istanbul.com,
Konya 2. Kitap Fuarı,2026-11-14,2026-11-22,Konya,Eğitim,Tüyap Konya Fuarcılık Anonim Şirketi,https://www.tuyap.com.tr,
Trend Ev Fuarı,2026-11-15,2026-11-18,Antalya,Mobilya & İç Mekan,Partner Fuarcılık Limited Şirketi,https://www.partnerfuar.com,
10. Uluslararası İstanbul Hırdavat Fuarı,2026-11-18,2026-11-21,İstanbul,Bilişim & Teknoloji,Voli Fuar Hizmetleri Anonim Şirketi,https://www.voli.com.tr,
Uluslararası Sılmo Istanbul Optık Fuarı,2026-11-18,2026-11-21,İstanbul,Endüstri & Otomasyon,24Saat Fuarcılık Anonim Şirketi,https://www.24saatfuarcilik.com,
"Anatex Anadolu Döşemelik Kumaş, Deri Ve Üretim Teknolojileri",2026-11-19,2026-11-22,Kayseri,Tekstil & Moda,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelanatex.com,
Lıght+Intellıgent Buıldıng Istanbul,2026-11-19,2026-11-21,İstanbul,Endüstri & Otomasyon,Messe Frankfurt İstanbul Uluslararası Fuarcılık Limited Şirketi,https://tr.messefrankfurt.com,
Travel Expo Ankara 9. Uluslararası Turizm Ve Seyahat Fuarı,2026-11-19,2026-11-21,Ankara,Otomotiv,Atis Fuarcılık Anonim Şirketi,https://www.atisfuar.com,
"Yanexpo Ahşap, Metal, Plastik Üretim Yan Sanayileri Teknolojileri Ve Aksesuarları Fuarı",2026-11-19,2026-11-22,Kayseri,Mobilya & İç Mekan,Nobel Expo Uluslararası Fuarcılık Anonim Şirketi,https://www.nobelyanexpo.com,
